localTableID,URL,moby_work_name,Category,platform,Master ID,Amazon_ID,Amazon_Search_Keywords,ebay_Search_Keywords,ebay_id,minimum_price_US$,
9384, https://www.amazon.com/dp/B001BX6JUA/?tag=mobygames02-20&amp;aod=1,rock-band-2,amazon_ID,,4011,B001BX6JUA,,,,0,
9394, https://www.amazon.com/dp/B00008KTMK/?tag=mobygames02-20&amp;aod=1,rock-n-roll-racing,amazon_ID,,3372,B00008KTMK,,,,0,
9398, https://www.amazon.com/dp/B0009PN31E/?tag=mobygames02-20&amp;aod=1,rock-n-roll-racing,amazon_ID,,3372,B0009PN31E,,,,0,
9417, https://www.amazon.com/dp/B00006RHM3/?tag=mobygames02-20&amp;aod=1,rocky___,amazon_ID,,3373,B00006RHM3,,,,0,
9425, https://www.amazon.com/dp/B00002SV57/?tag=mobygames02-20&amp;aod=1,roger-clemens-mvp-baseball,amazon_ID,,2229,B00002SV57,,,,0,
9429, https://www.amazon.com/dp/B001J0Y6F0/?tag=mobygames02-20&amp;aod=1,rolans-curse,amazon_ID,,2230,B001J0Y6F0,,,,0,
9431, https://www.amazon.com/dp/B00002SVMJ/?tag=mobygames02-20&amp;aod=1,roll-away,amazon_ID,,821,B00002SVMJ,,,,0,
9446, https://www.amazon.com/dp/B00009B05V/?tag=mobygames02-20&amp;aod=1,romance-of-the-three-kingdoms-viii,amazon_ID,,4073,B00009B05V,,,,0,
9450, https://www.amazon.com/dp/B001F7AA9I/?tag=mobygames02-20&amp;aod=1,romance-of-the-three-kingdoms-viii,amazon_ID,,4073,B001F7AA9I,,,,0,
9454, https://www.amazon.com/dp/B00082ZQWW/?tag=mobygames02-20&amp;aod=1,romance-of-the-three-kingdoms-x,amazon_ID,,4130,B00082ZQWW,,,,0,
9458, https://www.amazon.com/dp/B0009A4ETY/?tag=mobygames02-20&amp;aod=1,romancing-saga_,amazon_ID,,786,B0009A4ETY,,,,0,
