amazon ID,Title,platform,ebay,amazon_search,Minimum Price,amazon_individual_id
B00002ST25,Speedball 2      ,Game Boy,,,0,amazon_individual_id
B000038A7A,Boom Bots      ,PlayStation,,,0,amazon_individual_id
B001B84ESE,Golf Grand Slam      ,Nintendo NES,,,0,amazon_individual_id
B00005V6B5,Resident Evil Gaiden      ,Game Boy Color,,,0,amazon_individual_id
B00005V6B6,Shantae      ,Game Boy Color,,,0,amazon_individual_id
B000GUV10W,Cars - Xbox 360      ,Xbox 360,,,0,amazon_individual_id
B000GV4KFO,Cabelas African Safari - Xbox 360      ,Xbox 360,,,0,amazon_individual_id
B00008G948,Midnight Club 2 - Xbox      ,Xbox,,,0,amazon_individual_id
B00008H2IO,Pinobee - PlayStation      ,PlayStation,,,0,amazon_individual_id
B00005BIGE,Rayman Advance      ,Game Boy Advance,,,0,amazon_individual_id
B000I3MIC2,Samurai Shodown      ,3DO,,,0,amazon_individual_id
B00002ST4H,"WWF King of the Ring (Game Boy, 1993)      ",Game Boy,,,0,amazon_individual_id
B00002ST4J,World Bowling      ,Game Boy,,,0,amazon_individual_id
B00002ST4K,World Cup &#39;98      ,Game Boy,,,0,amazon_individual_id
B00006LEMM,Contra Advance: The Alien Wars EX      ,Game Boy Advance,,,0,amazon_individual_id
B00008DHNR,Pitfall: Lost Expedition      ,Game Boy Advance,,,0,amazon_individual_id
B00005Y405,Baseball Advance      ,Game Boy Advance,,,0,amazon_individual_id
B00005Y4Q3,Real Pool 2 - PC      ,"Windows 98,  Windows Me,  Windows 95",,,0,amazon_individual_id
B00005Y4Q6,RC Daredevil (Jewel Case) - PC      ,"Windows 98,  Windows Me,  Windows 95",,,0,amazon_individual_id
B00005NH6E,Sunny Garcia Surfing - PlayStation 2      ,PlayStation2,,,0,amazon_individual_id
B00004TNNM,Ronaldo V-Football (GBC)      ,Game Boy Color,,,0,amazon_individual_id
B000035XEB,Baseball      ,Game Boy,,,0,amazon_individual_id
B000CS3HKA,The Adventures of Kid Kleets      ,#N/A,,,0,amazon_individual_id
B000CS748Q,SWORD OF HOPE II [Game Boy]      ,Game Boy,,,0,amazon_individual_id
B00005ME7X,Dragon Warrior III - GameBoy Color      ,Game Boy Color,,,0,amazon_individual_id
B00005ME7Y,Tiny Toons: Buster Saves the Day      ,Game Boy Color,,,0,amazon_individual_id
B00005ME8K,Tang Tang - Game Boy Advance      ,Game Boy Advance,,,0,amazon_individual_id
B00005ME8R,Disney&#39;s Atlantis: The Lost Empire      ,Game Boy Advance,,,0,amazon_individual_id
B00008KT61,Cool Ball      ,Game Boy,,,0,amazon_individual_id
B00008KT6Z,Gear Works      ,Game Boy,,,0,amazon_individual_id
B00008KT74,Gremlins 2: The New Batch      ,"Windows XP,  Windows 98,  Windows Me,  Windows 2000",,,0,amazon_individual_id
B00004TN06,Game &amp; Watch Gallery      ,Game Boy,,,0,amazon_individual_id
B00002SVO8,Chakan - Sega Genesis      ,Sega Genesis,,,0,amazon_individual_id
B000G7X5LI,Eragon - PlayStation 2      ,PlayStation2,,,0,amazon_individual_id
B004OI0RH0,Doom      ,#N/A,,,0,amazon_individual_id
B00006489Y,2002 FIFA World Cup - PC      ,"Windows 98,  Windows Me,  Windows 95",,,0,amazon_individual_id
B00001ZUHQ,Boarder Zone      ,Game Boy Color,,,0,amazon_individual_id
B00001ZUHW,Ballistic      ,Game Boy Color,,,0,amazon_individual_id
B0002CHJ8C,Tekken 5 - PlayStation 2      ,PlayStation2,,,0,amazon_individual_id
B0002HDSZK,Urbz: Sims in the City      ,Game Boy Advance,,,0,amazon_individual_id
B000OCXKQU,Juiced 2: Hot Import Nights - Sony PSP      ,Sony PSP,,,0,amazon_individual_id
B0026205ZU,Bill &amp; Ted&#39;s Excellent Game Boy Adventure - Nintendo Game Boy      ,"Game Boy,  Game Boy Advance",,,0,amazon_individual_id
B000U90L32,Need for Speed: Prostreet - PC      ,"Windows XP,  Windows 98,  Windows 2000",,,0,amazon_individual_id
B000UFN3MC,Cannon Fodder      ,3DO,,,0,amazon_individual_id
B000UKQGA8,Syphon Filter: Logan&#39;s Shadow - Sony PSP      ,Sony PSP,,,0,amazon_individual_id
B0009Z3I0K,Gun - Gamecube      ,GameCube,,,0,amazon_individual_id
B00002SW4F,Pit-Fighter      ,Nintendo Super NES,,,0,amazon_individual_id
B000B63J92,Super Battletank      ,"Sega Genesis,  Sega Megadrive",,,0,amazon_individual_id
B000B69E9Q,Resident Evil 4 (Premium Edition)      ,PlayStation2,,,0,amazon_individual_id
B000B6JDW4,Joe &amp; Mac      ,Super Nintendo,,,0,amazon_individual_id
B00002SV6V,FIFA Soccer      ,Game Boy,,,0,amazon_individual_id
B000NNR106,Ratatouille (PS2)      ,PlayStation2,,,0,amazon_individual_id
B000FE0G1O,Man Hunter 2 San Francisco (Ms Dos)      ,No Operating System,,,0,amazon_individual_id
B00002ST9F,"Dick Vitale&#39;s &#34;Awesome, Baby!&#34; College Hoops      ",#N/A,,,0,amazon_individual_id
B00024W1TM,Kuon      ,PlayStation2,,,0,amazon_individual_id
B0000631VZ,Frogger Advance: The Great Quest - Game Boy Advance      ,Game Boy Advance,,,0,amazon_individual_id
B0000631W3,Spirit: Stallion of the Cimarron      ,Game Boy Advance,,,0,amazon_individual_id
B00006C292,Airforce Delta Storm      ,Game Boy Advance,,,0,amazon_individual_id
B00006C293,Silent Scope      ,Game Boy Advance,,,0,amazon_individual_id
B00004L8IW,F1 World Grand Prix II      ,Game Boy Color,,,0,amazon_individual_id
B00004LC81,Metal Gear Solid - GameBoy Color      ,Game Boy Color,,,0,amazon_individual_id
B0006GQN40,Ace Combat Advance - Game Boy Advance      ,Game Boy Advance,,,0,amazon_individual_id
B0006GT73E,Extreme Ghostbusters      ,Game Boy Advance,,,0,amazon_individual_id
B00005R5PV,Batman Vengeance      ,Xbox,,,0,amazon_individual_id
B006YDIOAU,Assault Rigs      ,Windows,,,0,amazon_individual_id
B006YI1WXG,Roadwar Europa      ,#N/A,,,0,amazon_individual_id
B007CKMM9I,Galaxian      ,Atari 5200,,,0,amazon_individual_id
B00005NNCX,Gary Kitchen&#39;s Super Battletank: War in the Gulf - Nintendo Super NES      ,Nintendo Super NES,,,0,amazon_individual_id
B00009YXBT,Demi-Kids: Dark Version      ,Game Boy Advance,,,0,amazon_individual_id
B00009YXC1,Demi-Kids: Light Version      ,Game Boy Advance,,,0,amazon_individual_id
B00009YXDR,River City Ransom - Game Boy Advance      ,Game Boy Advance,,,0,amazon_individual_id
B000066BYW,Bomberman Max 2: Red Advance      ,Game Boy Advance,,,0,amazon_individual_id
B00006JZD0,Tiny Toons Adventures: Scary Dreams      ,Game Boy Advance,,,0,amazon_individual_id
B000AOKX9E,Bonk&#39;s Revenge      ,Game Boy,,,0,amazon_individual_id
B0035D6M8S,"Mario Bros., Famicom Japanese NES Import      ",Nintendo NES,,,0,amazon_individual_id
B00383PS30,Qix      ,Atari 5200,,,0,amazon_individual_id
B00002ST3A,"4 In 1 Funpak - Checkers, Backgammon, Chess, Reversi (aka Othello) Fun Pak      ",#N/A,,,0,amazon_individual_id
B000GSKJXO,Tom Clancy&#39;s Ghost Recon      ,Windows,,,0,amazon_individual_id
B000PWTKH2,Ride! Carnival Tycoon - PC      ,Windows,,,0,amazon_individual_id
B000Q2W8Q6,The Flash (Game Boy)      ,Game Boy,,,0,amazon_individual_id
B000Q2XEHI,Daedailian Opus      ,Game Boy,,,0,amazon_individual_id
B00005K8PU,Mat Hoffman&#39;s Pro BMX (GBC)      ,Game Boy Color,,,0,amazon_individual_id
B000059Z7J,Snoopy Tennis      ,Game Boy Color,,,0,amazon_individual_id
B000059Z7L,Tom &amp; Jerry: Mouse Hunt      ,Game Boy Color,,,0,amazon_individual_id
B000059Z7P,Puzzled - GameBoy Color      ,Game Boy Color,,,0,amazon_individual_id
B00005A772,Legend of the River King 2 - Game Boy Color      ,Game Boy Color,,,0,amazon_individual_id
B00004S2SG,Bomberman Max: Red Challenger      ,Game Boy Color,,,0,amazon_individual_id
B00001IVB4,Sim Theme Park - PC      ,"Windows 98,  Windows Me,  Windows 95",,,0,amazon_individual_id
B00001OX4N,Worms: Armageddon      ,Sega Dreamcast,,,0,amazon_individual_id
B00001ZUI1,Antz      ,Game Boy Color,,,0,amazon_individual_id
B00001ZUJZ,Vigilante 8      ,Game Boy Color,,,0,amazon_individual_id
